label,message_type,payload_size,response_time_ms,energy_value,timestamp,time_delta_seconds,message_type_encoded,anomaly_score,prediction,pred_label
Saldırı,MeterValues,210.0,118,1006.1109005285639,2026-01-22 17:17:53.100618,43.0,3,-0.015720366722983825,-1,Saldırı
Normal,StopTransaction,386.67213945104123,110,0.0,2026-01-22 17:20:20.100618,147.0,5,0.09324909351511101,1,Normal
Saldırı,BootNotification,1868.5644477083931,2837,0.0,2026-01-22 17:20:20.103618,0.003,1,-0.07436180425434291,-1,Saldırı
Normal,MeterValues,249.41113608369773,153,7.931588938127911,2026-01-22 17:21:15.103618,55.0,3,0.16912171873900478,1,Normal
Normal,StopTransaction,262.5141975695723,200,0.0,2026-01-22 17:26:07.103618,292.0,5,0.054068572649083046,1,Normal
Normal,MeterValues,153.98840958839668,161,41.005701895675124,2026-01-22 17:29:44.103618,217.0,3,0.12582569403445298,1,Normal
Normal,Heartbeat,48.354292861170464,82,0.0,2026-01-22 17:33:02.103618,198.0,2,0.19132097133274134,1,Normal
Normal,Heartbeat,50.931314670045836,128,0.0,2026-01-22 17:36:09.103618,187.0,2,0.18901692381498375,1,Normal
Normal,MeterValues,235.58180691277485,100,44.651655678450034,2026-01-22 17:40:04.103618,235.0,3,0.13717956705786744,1,Normal
Normal,MeterValues,160.0348018390793,98,4.89069891248117,2026-01-22 17:41:44.103618,100.0,3,0.1786992654136106,1,Normal
Normal,MeterValues,213.0458577921693,71,59.29456329216856,2026-01-22 17:42:46.103618,62.0,3,0.12660744797573348,1,Normal
Normal,StartTransaction,359.10415586269926,129,0.0,2026-01-22 17:46:19.103618,213.0,4,0.12863906938506636,1,Normal
Normal,Heartbeat,48.03402328040035,115,0.0,2026-01-22 17:49:12.103618,173.0,2,0.1882603911575988,1,Normal
Normal,Heartbeat,49.976743312433385,142,0.0,2026-01-22 17:49:42.103618,30.0,2,0.18395999992044937,1,Normal
Normal,Heartbeat,48.28037209181878,149,0.0,2026-01-22 17:52:11.103618,149.0,2,0.183882894535136,1,Normal
Normal,MeterValues,165.33105467248404,25,8.120433372726817,2026-01-22 17:56:18.103618,247.0,3,0.12525440905138263,1,Normal
Normal,StartTransaction,392.0650587659593,28,0.0,2026-01-22 18:00:29.103618,251.0,4,0.07446344927859505,1,Normal
Normal,Authorize,381.59698262545913,179,0.0,2026-01-22 18:02:49.103618,140.0,0,0.027013996667589746,1,Normal
Normal,Heartbeat,48.38304317471873,63,0.0,2026-01-22 18:07:24.103618,275.0,2,0.16764337754187264,1,Normal
Normal,MeterValues,234.52581849618724,42,7.350053387889899,2026-01-22 18:10:45.103618,201.0,3,0.16111721241568805,1,Normal
Normal,MeterValues,238.70042592324833,108,47.90642159421824,2026-01-22 18:12:18.103618,93.0,3,0.15224076851880264,1,Normal
Normal,BootNotification,245.1915024122918,145,0.0,2026-01-22 18:16:29.103618,251.0,1,0.123244601488054,1,Normal
Normal,Heartbeat,51.747443356385105,153,0.0,2026-01-22 18:20:11.103618,222.0,2,0.18315927701492635,1,Normal
Normal,StartTransaction,382.0158391065824,84,0.0,2026-01-22 18:23:46.103618,215.0,4,0.11518395148675997,1,Normal
Normal,Heartbeat,51.22844828767199,163,0.0,2026-01-22 18:26:52.103618,186.0,2,0.18396531664548355,1,Normal
Normal,StopTransaction,366.0941105338417,122,0.0,2026-01-22 18:29:09.103618,137.0,5,0.11362587708023225,1,Normal
Normal,Heartbeat,49.31931892207837,193,0.0,2026-01-22 18:29:59.103618,50.0,2,0.1473426407145098,1,Normal
Normal,StopTransaction,299.5107564832863,89,0.0,2026-01-22 18:33:40.103618,221.0,5,0.12034389017558395,1,Normal
Normal,Heartbeat,50.0222990170214,75,0.0,2026-01-22 18:37:40.103618,240.0,2,0.18925360389675977,1,Normal
Normal,MeterValues,240.0019228652296,125,8.88889830239928,2026-01-22 18:39:17.103618,97.0,3,0.18434571779737247,1,Normal
Normal,Authorize,322.7987633563413,83,0.0,2026-01-22 18:40:46.103618,89.0,0,0.06552934778399866,1,Normal
Normal,MeterValues,150.35123421182362,174,16.154336278170035,2026-01-22 18:45:23.103618,277.0,3,0.11684455324354415,1,Normal
Normal,Heartbeat,48.97712687610181,95,0.0,2026-01-22 18:50:08.103618,285.0,2,0.16801362240489565,1,Normal
Normal,MeterValues,180.00095350138517,128,35.903303707529965,2026-01-22 18:53:45.103618,217.0,3,0.15911864307348117,1,Normal
Normal,Authorize,258.6868770744472,89,0.0,2026-01-22 18:54:15.103618,30.0,0,0.0624632638629784,1,Normal
Normal,MeterValues,181.6130661312433,187,38.41825574618924,2026-01-22 18:57:03.103618,168.0,3,0.13468256957708735,1,Normal
Normal,Heartbeat,49.49602526808969,178,0.0,2026-01-22 18:58:25.103618,82.0,2,0.17362237978355943,1,Normal
Normal,Heartbeat,50.566776494486625,196,0.0,2026-01-22 19:02:05.103618,220.0,2,0.14890926676010907,1,Normal
Normal,MeterValues,201.98105397292107,111,25.586639059816957,2026-01-22 19:05:01.103618,176.0,3,0.17485718520470556,1,Normal
Normal,Heartbeat,48.14170262795677,135,0.0,2026-01-22 19:05:43.103618,42.0,2,0.17967925575876076,1,Normal
Normal,MeterValues,232.59874745701387,104,40.28249741424177,2026-01-22 19:08:44.103618,181.0,3,0.15767144708653763,1,Normal
Normal,MeterValues,196.72853885431692,31,2.3185235184040254,2026-01-22 19:10:13.103618,89.0,3,0.16547111500938982,1,Normal
Normal,Heartbeat,49.68932150737291,160,0.0,2026-01-22 19:14:11.103618,238.0,2,0.18584553125772724,1,Normal
Normal,Heartbeat,50.83747137264471,132,0.0,2026-01-22 19:18:35.103618,264.0,2,0.18008099881894862,1,Normal
Normal,Heartbeat,50.4925358217049,111,0.0,2026-01-22 19:22:09.103618,214.0,2,0.19701238043960345,1,Normal
Normal,Heartbeat,49.81528642328646,127,0.0,2026-01-22 19:22:19.103618,10.0,2,0.1559153264497552,1,Normal
Normal,Heartbeat,49.99339076722168,176,0.0,2026-01-22 19:25:03.103618,164.0,2,0.18196595429939683,1,Normal
